Task_ID,Task_Name,Department_ID,Department_Name,Workstream,Owner,Vendor_ID,Priority,Critical_Path_Flag,Planned_Start_Date,Planned_End_Date,Planned_Cost
IT-025,User acceptance testing for core systems,IT,Information Technology,Systems Integration (PMS/POS),Systems Integration Manager,VEN-IT-01,High,True,2027-01-14,2027-01-20,41200
IT-026,IPTV / Guest TV system setup and testing,IT,Information Technology,Systems Integration (PMS/POS),Systems Integration Manager,VEN-IT-02,High,False,2027-01-06,2027-01-15,75900
IT-027,System interface inventory and documentation,IT,Information Technology,Systems Integration (PMS/POS),Systems Integration Manager,VEN-IT-04,Medium,False,2027-01-13,2027-01-17,54800
IT-028,CCTV network and system integration,IT,Information Technology,Security & End-User Support,IT Support & Security Manager,VEN-IT-02,High,False,2027-01-26,2027-02-18,140300
IT-029,Access control system technical integration and configuration,IT,Information Technology,Security & End-User Support,IT Support & Security Manager,,Medium,False,2027-01-21,2027-02-09,31700
IT-030,Staff laptop and desktop procurement and imaging,IT,Information Technology,Security & End-User Support,IT Support & Security Manager,,Low,False,2027-01-05,2027-01-23,33000
IT-031,Printer and peripheral deployment,IT,Information Technology,Security & End-User Support,IT Support & Security Manager,VEN-IT-03,Medium,False,2027-01-07,2027-01-27,70900
IT-032,Help desk ticketing system setup,IT,Information Technology,Security & End-User Support,IT Support & Security Manager,VEN-IT-04,Low,False,2027-01-28,2027-02-10,68800
IT-033,Cybersecurity policy and antivirus deployment,IT,Information Technology,Security & End-User Support,IT Support & Security Manager,,Medium,False,2027-01-28,2027-02-04,65000
IT-034,Data backup and disaster recovery setup,IT,Information Technology,Security & End-User Support,IT Support & Security Manager,,Low,False,2027-01-29,2027-02-15,37900
IT-035,Staff email and directory account creation,IT,Information Technology,Security & End-User Support,IT Support & Security Manager,VEN-IT-04,Medium,False,2027-01-19,2027-01-26,128800
IT-036,IT induction training for department heads,IT,Information Technology,Security & End-User Support,IT Support & Security Manager,,High,False,2027-01-26,2027-01-31,46100
IT-037,End-user support SOP documentation,IT,Information Technology,Security & End-User Support,IT Support & Security Manager,VEN-IT-02,Medium,False,2027-01-13,2027-01-20,25700
IT-038,Mobile Device Management (MDM) setup,IT,Information Technology,Security & End-User Support,IT Support & Security Manager,,Low,False,2027-01-11,2027-01-26,19400
IT-039,IT asset inventory and tagging,IT,Information Technology,Security & End-User Support,IT Support & Security Manager,,High,False,2027-01-18,2027-01-30,24300
IT-040,IT vendor support and SLA documentation,IT,Information Technology,Security & End-User Support,IT Support & Security Manager,,Medium,False,2027-01-08,2027-01-12,16700
IT-041,Final IT systems readiness testing,IT,Information Technology,Security & End-User Support,IT Support & Security Manager,VEN-IT-02,High,True,2027-02-18,2027-02-28,73200
IT-042,IT handover documentation and support escalation matrix,IT,Information Technology,Security & End-User Support,IT Support & Security Manager,,Medium,False,2027-01-18,2027-01-21,21800
ENG-001,HVAC system installation and commissioning,ENG,Engineering,MEP Systems,MEP Engineer,VEN-MEP-02,High,True,2026-12-23,2027-01-09,31000
ENG-002,Chiller plant testing,ENG,Engineering,MEP Systems,MEP Engineer,VEN-MEP-03,Medium,False,2026-12-25,2026-12-30,129200
ENG-003,Electrical switchgear installation,ENG,Engineering,MEP Systems,MEP Engineer,,High,True,2026-12-07,2026-12-26,54600
ENG-004,Backup generator installation,ENG,Engineering,MEP Systems,MEP Engineer,VEN-MEP-01,High,True,2026-12-11,2026-12-30,99100
ENG-005,Generator load testing,ENG,Engineering,MEP Systems,MEP Engineer,VEN-MEP-01,High,True,2026-12-09,2026-12-17,27800
ENG-006,Domestic water pump system testing,ENG,Engineering,MEP Systems,MEP Engineer,VEN-MEP-02,Medium,False,2026-12-08,2026-12-15,334500
ENG-007,Hot water system commissioning,ENG,Engineering,MEP Systems,MEP Engineer,VEN-MEP-02,Medium,False,2026-12-15,2026-12-31,53500
ENG-008,Plumbing system pressure testing,ENG,Engineering,MEP Systems,MEP Engineer,VEN-MEP-01,Medium,False,2026-12-16,2026-12-22,67100
ENG-009,Wastewater and drainage system testing,ENG,Engineering,MEP Systems,MEP Engineer,,Medium,False,2026-12-21,2026-12-28,27500
ENG-010,Building management system integration,ENG,Engineering,MEP Systems,MEP Engineer,VEN-MEP-01,High,True,2026-12-24,2027-01-13,35200
ENG-011,Energy metering system setup,ENG,Engineering,MEP Systems,MEP Engineer,,High,False,2026-12-21,2027-01-06,214700
ENG-012,Fire alarm system installation,ENG,Engineering,Life Safety Systems,Life Safety Systems Engineer,VEN-FLS-01,Critical,False,2027-01-08,2027-01-25,161100
ENG-013,Fire alarm system testing and certification,ENG,Engineering,Life Safety Systems,Life Safety Systems Engineer,,High,True,2026-12-14,2026-12-23,32200
ENG-014,Sprinkler system installation,ENG,Engineering,Life Safety Systems,Life Safety Systems Engineer,,Critical,False,2026-12-30,2027-01-14,126700
ENG-015,Sprinkler system pressure testing,ENG,Engineering,Life Safety Systems,Life Safety Systems Engineer,VEN-FLS-01,High,True,2026-12-24,2026-12-30,38400
ENG-016,Emergency lighting installation,ENG,Engineering,Life Safety Systems,Life Safety Systems Engineer,VEN-FLS-01,Medium,False,2026-12-14,2026-12-30,296700
ENG-017,Elevator installation,ENG,Engineering,Life Safety Systems,Life Safety Systems Engineer,VEN-ELE-01,High,False,2026-12-17,2027-01-04,169300
ENG-018,Elevator load and safety testing,ENG,Engineering,Life Safety Systems,Life Safety Systems Engineer,,High,True,2026-12-17,2026-12-27,51500
ENG-019,Fire pump system testing,ENG,Engineering,Life Safety Systems,Life Safety Systems Engineer,VEN-FLS-01,High,True,2026-12-24,2027-01-02,27100
ENG-020,Smoke extraction system testing,ENG,Engineering,Life Safety Systems,Life Safety Systems Engineer,VEN-FLS-01,High,True,2027-01-04,2027-01-09,252100
ENG-021,Emergency evacuation signage installation,ENG,Engineering,Life Safety Systems,Life Safety Systems Engineer,VEN-FLS-02,Medium,False,2027-01-08,2027-01-31,173500
ENG-022,Civil defense inspection and approval,ENG,Engineering,Life Safety Systems,Life Safety Systems Engineer,,Critical,True,2026-12-30,2027-01-08,149200
ENG-023,Building envelope inspection,ENG,Engineering,Building Commissioning,Chief Engineer,,Medium,False,2027-02-10,2027-02-22,203600
ENG-024,Punch list creation for public areas,ENG,Engineering,Building Commissioning,Chief Engineer,,Medium,False,2027-02-12,2027-02-19,91200
ENG-025,Punch list creation for back-of-house areas,ENG,Engineering,Building Commissioning,Chief Engineer,,High,False,2027-01-22,2027-02-03,215300
ENG-026,Snagging and de-snagging process setup,ENG,Engineering,Building Commissioning,Chief Engineer,,Medium,False,2027-02-10,2027-02-21,161400
ENG-027,Preventive maintenance program setup,ENG,Engineering,Building Commissioning,Chief Engineer,,Medium,False,2027-01-20,2027-01-26,107800
ENG-028,Equipment warranty documentation,ENG,Engineering,Building Commissioning,Chief Engineer,,Low,False,2027-01-28,2027-01-31,85900
ENG-029,Spare parts inventory setup,ENG,Engineering,Building Commissioning,Chief Engineer,,Low,False,2027-01-27,2027-02-20,48200
ENG-030,Engineering SOP documentation,ENG,Engineering,Building Commissioning,Chief Engineer,,Medium,False,2027-02-08,2027-02-15,29900
ENG-031,Contractor handover and sign-off,ENG,Engineering,Building Commissioning,Chief Engineer,VEN-MEP-03,Medium,False,2027-02-03,2027-02-17,122300
ENG-032,Final commissioning report preparation,ENG,Engineering,Building Commissioning,Chief Engineer,VEN-MEP-02,High,False,2027-01-26,2027-01-31,285000
ENG-033,Engineering final operational readiness inspection,ENG,Engineering,Building Commissioning,Chief Engineer,,High,True,2027-02-16,2027-02-26,133800
HR-001,Organizational chart finalization,HR,Human Resources,Recruitment & Staffing,Talent Acquisition Manager,,Low,False,2026-12-10,2026-12-14,3800
HR-002,Job description creation for all positions,HR,Human Resources,Recruitment & Staffing,Talent Acquisition Manager,,Medium,False,2026-12-25,2027-01-08,6300
HR-003,Recruitment plan and hiring timeline,HR,Human Resources,Recruitment & Staffing,Talent Acquisition Manager,VEN-TRN-02,Medium,False,2026-12-07,2026-12-20,5800
HR-004,Department head recruitment,HR,Human Resources,Recruitment & Staffing,Talent Acquisition Manager,,High,False,2026-12-23,2027-01-05,21800
HR-005,Line staff recruitment,HR,Human Resources,Recruitment & Staffing,Talent Acquisition Manager,,High,False,2026-12-07,2026-12-20,33000
HR-006,Recruitment agency coordination,HR,Human Resources,Recruitment & Staffing,Talent Acquisition Manager,,High,False,2026-12-09,2026-12-18,9300
HR-007,Interview and selection process setup,HR,Human Resources,Recruitment & Staffing,Talent Acquisition Manager,VEN-TRN-02,Medium,False,2026-12-10,2027-01-03,48100
HR-008,Offer letter and contract issuance,HR,Human Resources,Recruitment & Staffing,Talent Acquisition Manager,,Low,False,2026-12-16,2026-12-30,6800
HR-009,Staff headcount tracking dashboard,HR,Human Resources,Recruitment & Staffing,Talent Acquisition Manager,VEN-TRN-01,Medium,False,2026-12-16,2026-12-30,38500
HR-010,Local labor market compliance review,HR,Human Resources,Recruitment & Staffing,Talent Acquisition Manager,,High,False,2026-12-11,2026-12-23,6500
HR-011,Recruitment budget tracking,HR,Human Resources,Recruitment & Staffing,Talent Acquisition Manager,,Medium,False,2026-12-22,2027-01-04,16100
HR-012,New hire onboarding program design,HR,Human Resources,Onboarding & Training,Training & Development Manager,VEN-TRN-02,Low,False,2027-01-11,2027-01-20,10200
HR-013,Employee handbook creation,HR,Human Resources,Onboarding & Training,Training & Development Manager,VEN-TRN-01,Low,False,2027-01-22,2027-01-31,20800
HR-014,Brand orientation program,HR,Human Resources,Onboarding & Training,Training & Development Manager,,High,False,2027-01-29,2027-02-06,8000
HR-015,Department-specific SOP training,HR,Human Resources,Onboarding & Training,Training & Development Manager,,Medium,False,2027-01-12,2027-01-17,12400
HR-016,Service standards training,HR,Human Resources,Onboarding & Training,Training & Development Manager,VEN-TRN-01,High,False,2027-02-04,2027-02-11,19900
HR-017,Fire and safety training for all staff,HR,Human Resources,Onboarding & Training,Training & Development Manager,,Critical,False,2027-01-12,2027-01-19,9500
HR-018,Cross-training program setup,HR,Human Resources,Onboarding & Training,Training & Development Manager,,High,False,2027-01-28,2027-02-06,3100
HR-019,Training completion tracking system,HR,Human Resources,Onboarding & Training,Training & Development Manager,,Medium,False,2027-02-01,2027-02-07,13700
HR-020,Trainer certification program,HR,Human Resources,Onboarding & Training,Training & Development Manager,,High,False,2027-02-04,2027-02-11,4600
HR-021,Pre-opening simulation and mock service training,HR,Human Resources,Onboarding & Training,Training & Development Manager,,High,False,2027-01-26,2027-02-05,15800
HR-022,Uniform fitting and distribution,HR,Human Resources,Onboarding & Training,Training & Development Manager,VEN-TRN-02,Medium,False,2027-01-25,2027-02-02,30000
HR-023,Staff accommodation readiness,HR,Human Resources,Employee Welfare & Compliance,HR Compliance Manager,,Medium,False,2026-12-23,2027-01-04,12200
HR-024,Staff transportation arrangement,HR,Human Resources,Employee Welfare & Compliance,HR Compliance Manager,VEN-PRO-01,Medium,False,2026-12-28,2027-01-05,54300
HR-025,Visa and work permit processing,HR,Human Resources,Employee Welfare & Compliance,HR Compliance Manager,,Medium,False,2026-12-28,2027-01-09,32000
HR-026,Medical insurance enrollment,HR,Human Resources,Employee Welfare & Compliance,HR Compliance Manager,,Critical,False,2026-12-15,2026-12-26,24700
HR-027,Staff cafeteria setup,HR,Human Resources,Employee Welfare & Compliance,HR Compliance Manager,,Medium,False,2026-12-14,2026-12-29,4000
HR-028,Payroll system setup,HR,Human Resources,Employee Welfare & Compliance,HR Compliance Manager,,Medium,False,2026-12-23,2027-01-15,4400
HR-029,Employee policy and code of conduct sign-off,HR,Human Resources,Employee Welfare & Compliance,HR Compliance Manager,,Medium,False,2027-01-05,2027-01-09,11700
HR-030,Labor law compliance review,HR,Human Resources,Employee Welfare & Compliance,HR Compliance Manager,VEN-PRO-01,Critical,False,2026-12-18,2026-12-26,7900
HR-031,Employee relations and grievance procedure setup,HR,Human Resources,Employee Welfare & Compliance,HR Compliance Manager,,High,False,2027-01-01,2027-01-21,8300
HR-032,Staff welfare committee formation,HR,Human Resources,Employee Welfare & Compliance,HR Compliance Manager,,High,False,2026-12-22,2027-01-05,12500
HK-001,Room inventory and inspection checklist,HK,Housekeeping,Room Readiness,Housekeeping Operations Manager,,Low,False,2027-01-26,2027-02-01,28100
HK-002,FF&E installation verification per room,HK,Housekeeping,Room Readiness,Housekeeping Operations Manager,,Medium,False,2027-01-26,2027-02-05,25600
HK-003,Room deep-cleaning schedule,HK,Housekeeping,Room Readiness,Housekeeping Operations Manager,,Medium,False,2027-01-25,2027-02-06,14300
HK-004,Minibar stocking setup,HK,Housekeeping,Room Readiness,Housekeeping Operations Manager,,Low,False,2027-02-04,2027-02-20,35200
HK-005,In-room amenities placement,HK,Housekeeping,Room Readiness,Housekeeping Operations Manager,VEN-OSE-02,High,False,2027-01-26,2027-02-07,17000
HK-006,Room technology testing,HK,Housekeeping,Room Readiness,Housekeeping Operations Manager,,Low,False,2027-01-27,2027-02-01,3700
HK-007,Room readiness sign-off process,HK,Housekeeping,Room Readiness,Housekeeping Operations Manager,,Medium,False,2027-02-10,2027-02-24,52400
HK-008,Turndown service setup,HK,Housekeeping,Room Readiness,Housekeeping Operations Manager,,High,False,2027-02-04,2027-02-26,21300
HK-009,Lost and found procedure setup,HK,Housekeeping,Room Readiness,Housekeeping Operations Manager,,Medium,False,2027-01-29,2027-02-14,9400
HK-010,Guest room supply par level setup,HK,Housekeeping,Room Readiness,Housekeeping Operations Manager,,Low,False,2027-02-05,2027-02-15,5400
HK-011,Room status system integration with PMS,HK,Housekeeping,Room Readiness,Housekeeping Operations Manager,,High,False,2027-02-05,2027-02-26,12600
HK-012,Housekeeping room readiness trial,HK,Housekeeping,Room Readiness,Housekeeping Operations Manager,,High,True,2027-02-16,2027-02-26,5400
HK-013,Linen inventory procurement,HK,Housekeeping,Linen & Laundry Operations,Laundry Operations Supervisor,VEN-LND-01,Medium,False,2027-01-19,2027-02-09,7100
HK-014,Laundry equipment installation,HK,Housekeeping,Linen & Laundry Operations,Laundry Operations Supervisor,,Medium,False,2027-01-06,2027-01-16,14400
HK-015,Laundry SOP documentation,HK,Housekeeping,Linen & Laundry Operations,Laundry Operations Supervisor,,Medium,False,2027-01-15,2027-01-21,22300
HK-016,Linen par level calculation,HK,Housekeeping,Linen & Laundry Operations,Laundry Operations Supervisor,VEN-LND-02,Low,False,2027-01-12,2027-01-23,68700
HK-017,Outsourced laundry vendor agreement,HK,Housekeeping,Linen & Laundry Operations,Laundry Operations Supervisor,VEN-LND-01,Medium,False,2026-12-30,2027-01-13,21100
HK-018,Uniform laundry process setup,HK,Housekeeping,Linen & Laundry Operations,Laundry Operations Supervisor,,High,False,2027-01-14,2027-01-24,25800
HK-019,Linen room organization,HK,Housekeeping,Linen & Laundry Operations,Laundry Operations Supervisor,VEN-LND-01,High,False,2027-01-13,2027-01-25,15800
HK-020,Laundry chemical supply setup,HK,Housekeeping,Linen & Laundry Operations,Laundry Operations Supervisor,VEN-LND-01,High,False,2027-01-08,2027-01-25,49800
HK-021,Laundry staff training,HK,Housekeeping,Linen & Laundry Operations,Laundry Operations Supervisor,VEN-LND-02,Critical,False,2026-12-29,2027-01-06,6700
HK-022,Quality control checklist for linen,HK,Housekeeping,Linen & Laundry Operations,Laundry Operations Supervisor,VEN-LND-01,High,False,2027-01-14,2027-01-19,42000
HK-023,Housekeeping SOP manual creation,HK,Housekeeping,SOPs & Equipment,Executive Housekeeper,VEN-OSE-03,Medium,False,2027-01-07,2027-01-12,11000
HK-024,Cleaning equipment procurement,HK,Housekeeping,SOPs & Equipment,Executive Housekeeper,,Medium,False,2026-12-23,2027-01-14,5200
HK-025,Public area cleaning schedule,HK,Housekeeping,SOPs & Equipment,Executive Housekeeper,,Medium,False,2027-01-05,2027-01-12,46900
HK-026,Chemical safety and MSDS documentation,HK,Housekeeping,SOPs & Equipment,Executive Housekeeper,VEN-OSE-01,Low,False,2026-12-29,2027-01-05,13200
HK-027,Housekeeping trolley setup,HK,Housekeeping,SOPs & Equipment,Executive Housekeeper,,Medium,False,2026-12-21,2027-01-07,34500
HK-028,Pest control program setup,HK,Housekeeping,SOPs & Equipment,Executive Housekeeper,,Medium,False,2026-12-21,2026-12-26,9200
HK-029,Deep cleaning contractor coordination,HK,Housekeeping,SOPs & Equipment,Executive Housekeeper,,Low,False,2026-12-23,2027-01-06,14500
HK-030,Housekeeping staffing model,HK,Housekeeping,SOPs & Equipment,Executive Housekeeper,,Medium,False,2026-12-28,2027-01-10,4200
HK-031,Inspection and quality audit checklist,HK,Housekeeping,SOPs & Equipment,Executive Housekeeper,VEN-PRO-01,High,False,2027-01-06,2027-01-10,4400
HK-032,Housekeeping software and system training,HK,Housekeeping,SOPs & Equipment,Executive Housekeeper,,High,False,2026-12-24,2027-01-01,14000
HK-033,Back-of-house storage organization,HK,Housekeeping,SOPs & Equipment,Executive Housekeeper,,Medium,False,2027-01-05,2027-01-15,17800
FO-001,PMS front desk module training,FO,Front Office,Guest Systems & Reservations,Reservations Manager,,High,False,2027-01-08,2027-01-16,28000
FO-002,Reservation system setup,FO,Front Office,Guest Systems & Reservations,Reservations Manager,VEN-IT-03,High,False,2027-01-06,2027-01-16,23500
FO-003,Rate and inventory loading,FO,Front Office,Guest Systems & Reservations,Reservations Manager,,Low,False,2026-12-21,2026-12-29,8300
FO-004,Group booking process setup,FO,Front Office,Guest Systems & Reservations,Reservations Manager,VEN-IT-03,Low,False,2026-12-21,2027-01-14,57900
FO-005,Guest profile database setup,FO,Front Office,Guest Systems & Reservations,Reservations Manager,,Critical,False,2027-01-13,2027-01-30,14400
FO-006,Guest key card operational testing and acceptance,FO,Front Office,Guest Systems & Reservations,Reservations Manager,VEN-IT-04,High,True,2027-01-08,2027-01-13,8100
FO-007,Check-in and check-out workflow design,FO,Front Office,Guest Systems & Reservations,Reservations Manager,VEN-IT-04,Critical,False,2027-01-08,2027-01-20,36200
FO-008,Payment processing setup at front desk,FO,Front Office,Guest Systems & Reservations,Reservations Manager,,Medium,False,2027-01-11,2027-01-22,19800
FO-009,Currency exchange procedure setup,FO,Front Office,Guest Systems & Reservations,Reservations Manager,VEN-IT-01,Medium,False,2026-12-24,2027-01-17,44100
FO-010,Guest messaging system setup,FO,Front Office,Guest Systems & Reservations,Reservations Manager,VEN-IT-01,Low,False,2027-01-05,2027-01-23,6300
FO-011,Wake-up call system testing,FO,Front Office,Guest Systems & Reservations,Reservations Manager,,High,False,2026-12-22,2026-12-28,4600
FO-012,Revenue management system setup,FO,Front Office,Guest Systems & Reservations,Reservations Manager,VEN-IT-02,Medium,False,2027-01-11,2027-01-27,9000
FO-013,Front office SOP manual,FO,Front Office,SOPs & Training,Front Office Manager,,Low,False,2027-01-29,2027-02-02,11300
FO-014,Guest service standards training,FO,Front Office,SOPs & Training,Front Office Manager,,High,False,2027-02-05,2027-02-10,13500
FO-015,Concierge services setup,FO,Front Office,SOPs & Training,Front Office Manager,,Low,False,2027-02-02,2027-02-22,5000
FO-016,Bell desk and luggage handling procedures,FO,Front Office,SOPs & Training,Front Office Manager,VEN-TRN-02,Medium,False,2027-02-05,2027-02-13,9300
FO-017,Telephone operator and switchboard training,FO,Front Office,SOPs & Training,Front Office Manager,,Medium,False,2027-02-04,2027-02-11,5400
FO-018,Complaint handling procedure,FO,Front Office,SOPs & Training,Front Office Manager,,Medium,False,2027-01-27,2027-02-04,18100
FO-019,VIP guest handling procedure,FO,Front Office,SOPs & Training,Front Office Manager,,Low,False,2027-02-01,2027-02-13,6200
FO-020,Upselling and cross-selling training,FO,Front Office,SOPs & Training,Front Office Manager,VEN-TRN-01,Medium,False,2027-02-03,2027-02-11,21700
FO-021,Night audit procedure setup,FO,Front Office,SOPs & Training,Front Office Manager,VEN-PRO-01,Low,False,2027-02-12,2027-02-23,5900
FO-022,Front office staffing schedule,FO,Front Office,SOPs & Training,Front Office Manager,,Low,False,2027-02-05,2027-02-14,16100
FO-023,Lobby ambiance and welcome experience design,FO,Front Office,Guest Experience Readiness,Guest Experience Manager,,Medium,False,2027-02-16,2027-02-26,20100
FO-024,Airport transfer coordination process,FO,Front Office,Guest Experience Readiness,Guest Experience Manager,,Low,False,2027-02-15,2027-02-25,10400
FO-025,Guest arrival experience mapping,FO,Front Office,Guest Experience Readiness,Guest Experience Manager,VEN-MKT-02,Medium,False,2027-01-25,2027-02-05,15700
FO-026,Loyalty program setup,FO,Front Office,Guest Experience Readiness,Guest Experience Manager,VEN-MKT-02,Medium,False,2027-02-01,2027-02-10,4200
FO-027,Guest feedback and survey system,FO,Front Office,Guest Experience Readiness,Guest Experience Manager,VEN-MKT-02,Medium,False,2027-02-04,2027-02-16,43300
FO-028,Business center setup,FO,Front Office,Guest Experience Readiness,Guest Experience Manager,,High,False,2027-02-03,2027-02-22,7700
FO-029,Guest amenities and welcome kit design,FO,Front Office,Guest Experience Readiness,Guest Experience Manager,,Low,False,2027-02-03,2027-02-16,38300
FO-030,Signage and wayfinding installation,FO,Front Office,Guest Experience Readiness,Guest Experience Manager,VEN-MKT-02,Medium,False,2027-01-29,2027-02-09,34400
FO-031,Valet parking procedure setup,FO,Front Office,Guest Experience Readiness,Guest Experience Manager,,Medium,False,2027-02-17,2027-02-26,18400
FO-032,Guest privacy and data protection compliance,FO,Front Office,Guest Experience Readiness,Guest Experience Manager,,Medium,False,2027-02-04,2027-02-15,16000
FO-033,Front Office end-to-end guest journey test,FO,Front Office,Guest Experience Readiness,Guest Experience Manager,VEN-MKT-01,High,True,2027-02-15,2027-02-24,12500
FB-001,Kitchen equipment installation,FB,Food & Beverage,Kitchen Commissioning,Executive Chef,,High,False,2026-12-25,2027-01-15,25400
FB-002,Kitchen equipment testing and calibration,FB,Food & Beverage,Kitchen Commissioning,Executive Chef,,Medium,False,2026-12-17,2026-12-22,53200
FB-003,Kitchen exhaust and ventilation testing,FB,Food & Beverage,Kitchen Commissioning,Executive Chef,VEN-KIT-02,Low,False,2026-12-21,2026-12-29,50800
FB-004,Cold storage and walk-in chiller setup,FB,Food & Beverage,Kitchen Commissioning,Executive Chef,VEN-KIT-01,High,False,2026-12-14,2027-01-06,75300
FB-005,HACCP food safety system setup,FB,Food & Beverage,Kitchen Commissioning,Executive Chef,,Medium,False,2026-12-16,2027-01-07,56600
FB-006,Kitchen layout and workflow finalization,FB,Food & Beverage,Kitchen Commissioning,Executive Chef,VEN-KIT-01,Low,False,2026-12-22,2027-01-01,29900
FB-007,F&B staffing requirements confirmation,FB,Food & Beverage,Kitchen Commissioning,Executive Chef,VEN-KIT-02,High,False,2026-12-25,2027-01-01,81500
FB-008,Kitchen SOP documentation,FB,Food & Beverage,Kitchen Commissioning,Executive Chef,VEN-KIT-02,High,False,2027-01-04,2027-01-11,44000
FB-009,Food safety certification and inspection,FB,Food & Beverage,Kitchen Commissioning,Executive Chef,VEN-KIT-01,High,True,2026-12-21,2027-01-03,15600
FB-010,Chef recruitment and menu development lead,FB,Food & Beverage,Kitchen Commissioning,Executive Chef,VEN-KIT-01,Medium,False,2026-12-14,2026-12-28,42700
FB-011,Kitchen stewarding setup,FB,Food & Beverage,Kitchen Commissioning,Executive Chef,VEN-KIT-01,High,False,2027-01-07,2027-01-27,44700
FB-012,Restaurant outlet design finalization,FB,Food & Beverage,Outlet Setup & Menu Development,F&B Director,,Medium,False,2027-01-08,2027-01-19,48200
FB-013,Bar outlet setup,FB,Food & Beverage,Outlet Setup & Menu Development,F&B Director,,Medium,False,2026-12-30,2027-01-20,12700
FB-014,Menu engineering and costing,FB,Food & Beverage,Outlet Setup & Menu Development,F&B Director,,Medium,False,2027-01-06,2027-01-18,135200
FB-015,Wine and beverage list development,FB,Food & Beverage,Outlet Setup & Menu Development,F&B Director,VEN-KIT-01,Medium,False,2026-12-29,2027-01-05,83800
FB-016,Menu tasting and finalization,FB,Food & Beverage,Outlet Setup & Menu Development,F&B Director,,Medium,False,2027-01-14,2027-01-24,15900
