Department_ID,Department_Name,Workstream,Task_Name
ENG,Engineering,MEP Systems,Generator load testing
ENG,Engineering,MEP Systems,Domestic water pump system testing
ENG,Engineering,MEP Systems,Hot water system commissioning
ENG,Engineering,MEP Systems,Plumbing system pressure testing
ENG,Engineering,MEP Systems,Wastewater and drainage system testing
ENG,Engineering,MEP Systems,Building management system integration
ENG,Engineering,MEP Systems,Energy metering system setup
ENG,Engineering,Life Safety Systems,Fire alarm system installation
ENG,Engineering,Life Safety Systems,Fire alarm system testing and certification
ENG,Engineering,Life Safety Systems,Sprinkler system installation
ENG,Engineering,Life Safety Systems,Sprinkler system pressure testing
ENG,Engineering,Life Safety Systems,Emergency lighting installation
ENG,Engineering,Life Safety Systems,Elevator installation
ENG,Engineering,Life Safety Systems,Elevator load and safety testing
ENG,Engineering,Life Safety Systems,Fire pump system testing
ENG,Engineering,Life Safety Systems,Smoke extraction system testing
ENG,Engineering,Life Safety Systems,Emergency evacuation signage installation
ENG,Engineering,Life Safety Systems,Civil defense inspection and approval
ENG,Engineering,Building Commissioning,Building envelope inspection
ENG,Engineering,Building Commissioning,Punch list creation for public areas
ENG,Engineering,Building Commissioning,Punch list creation for back-of-house areas
ENG,Engineering,Building Commissioning,Snagging and de-snagging process setup
ENG,Engineering,Building Commissioning,Preventive maintenance program setup
ENG,Engineering,Building Commissioning,Equipment warranty documentation
ENG,Engineering,Building Commissioning,Spare parts inventory setup
ENG,Engineering,Building Commissioning,Engineering SOP documentation
ENG,Engineering,Building Commissioning,Contractor handover and sign-off
ENG,Engineering,Building Commissioning,Final commissioning report preparation
ENG,Engineering,Building Commissioning,Engineering final operational readiness inspection
HR,Human Resources,Recruitment & Staffing,Organizational chart finalization
HR,Human Resources,Recruitment & Staffing,Job description creation for all positions
HR,Human Resources,Recruitment & Staffing,Recruitment plan and hiring timeline
HR,Human Resources,Recruitment & Staffing,Department head recruitment
HR,Human Resources,Recruitment & Staffing,Line staff recruitment
HR,Human Resources,Recruitment & Staffing,Recruitment agency coordination
HR,Human Resources,Recruitment & Staffing,Interview and selection process setup
HR,Human Resources,Recruitment & Staffing,Offer letter and contract issuance
HR,Human Resources,Recruitment & Staffing,Staff headcount tracking dashboard
HR,Human Resources,Recruitment & Staffing,Local labor market compliance review
HR,Human Resources,Recruitment & Staffing,Recruitment budget tracking
HR,Human Resources,Onboarding & Training,New hire onboarding program design
HR,Human Resources,Onboarding & Training,Employee handbook creation
HR,Human Resources,Onboarding & Training,Brand orientation program
HR,Human Resources,Onboarding & Training,Department-specific SOP training
HR,Human Resources,Onboarding & Training,Service standards training
HR,Human Resources,Onboarding & Training,Fire and safety training for all staff
HR,Human Resources,Onboarding & Training,Cross-training program setup
HR,Human Resources,Onboarding & Training,Training completion tracking system
HR,Human Resources,Onboarding & Training,Trainer certification program
HR,Human Resources,Onboarding & Training,Pre-opening simulation and mock service training
HR,Human Resources,Onboarding & Training,Uniform fitting and distribution
HR,Human Resources,Employee Welfare & Compliance,Staff accommodation readiness
HR,Human Resources,Employee Welfare & Compliance,Staff transportation arrangement
HR,Human Resources,Employee Welfare & Compliance,Visa and work permit processing
HR,Human Resources,Employee Welfare & Compliance,Medical insurance enrollment
HR,Human Resources,Employee Welfare & Compliance,Staff cafeteria setup
HR,Human Resources,Employee Welfare & Compliance,Payroll system setup
HR,Human Resources,Employee Welfare & Compliance,Employee policy and code of conduct sign-off
HR,Human Resources,Employee Welfare & Compliance,Labor law compliance review
HR,Human Resources,Employee Welfare & Compliance,Employee relations and grievance procedure setup
HR,Human Resources,Employee Welfare & Compliance,Staff welfare committee formation
HK,Housekeeping,Room Readiness,Room inventory and inspection checklist
HK,Housekeeping,Room Readiness,FF&E installation verification per room
HK,Housekeeping,Room Readiness,Room deep-cleaning schedule
HK,Housekeeping,Room Readiness,Minibar stocking setup
HK,Housekeeping,Room Readiness,In-room amenities placement
HK,Housekeeping,Room Readiness,Room technology testing
HK,Housekeeping,Room Readiness,Room readiness sign-off process
HK,Housekeeping,Room Readiness,Turndown service setup
HK,Housekeeping,Room Readiness,Lost and found procedure setup
HK,Housekeeping,Room Readiness,Guest room supply par level setup
HK,Housekeeping,Room Readiness,Room status system integration with PMS
HK,Housekeeping,Room Readiness,Housekeeping room readiness trial
HK,Housekeeping,Linen & Laundry Operations,Linen inventory procurement
HK,Housekeeping,Linen & Laundry Operations,Laundry equipment installation
HK,Housekeeping,Linen & Laundry Operations,Laundry SOP documentation
HK,Housekeeping,Linen & Laundry Operations,Linen par level calculation
HK,Housekeeping,Linen & Laundry Operations,Outsourced laundry vendor agreement
HK,Housekeeping,Linen & Laundry Operations,Uniform laundry process setup
HK,Housekeeping,Linen & Laundry Operations,Linen room organization
HK,Housekeeping,Linen & Laundry Operations,Laundry chemical supply setup
HK,Housekeeping,Linen & Laundry Operations,Laundry staff training
HK,Housekeeping,Linen & Laundry Operations,Quality control checklist for linen
HK,Housekeeping,SOPs & Equipment,Housekeeping SOP manual creation
HK,Housekeeping,SOPs & Equipment,Cleaning equipment procurement
HK,Housekeeping,SOPs & Equipment,Public area cleaning schedule
HK,Housekeeping,SOPs & Equipment,Chemical safety and MSDS documentation
HK,Housekeeping,SOPs & Equipment,Housekeeping trolley setup
HK,Housekeeping,SOPs & Equipment,Pest control program setup
HK,Housekeeping,SOPs & Equipment,Deep cleaning contractor coordination
HK,Housekeeping,SOPs & Equipment,Housekeeping staffing model
HK,Housekeeping,SOPs & Equipment,Inspection and quality audit checklist
HK,Housekeeping,SOPs & Equipment,Housekeeping software and system training
HK,Housekeeping,SOPs & Equipment,Back-of-house storage organization
FO,Front Office,Guest Systems & Reservations,PMS front desk module training
FO,Front Office,Guest Systems & Reservations,Reservation system setup
FO,Front Office,Guest Systems & Reservations,Rate and inventory loading
FO,Front Office,Guest Systems & Reservations,Group booking process setup
FO,Front Office,Guest Systems & Reservations,Guest profile database setup
FO,Front Office,Guest Systems & Reservations,Guest key card operational testing and acceptance
FO,Front Office,Guest Systems & Reservations,Check-in and check-out workflow design
FO,Front Office,Guest Systems & Reservations,Payment processing setup at front desk
FO,Front Office,Guest Systems & Reservations,Currency exchange procedure setup
FO,Front Office,Guest Systems & Reservations,Guest messaging system setup
FO,Front Office,Guest Systems & Reservations,Wake-up call system testing
FO,Front Office,Guest Systems & Reservations,Revenue management system setup
FO,Front Office,SOPs & Training,Front office SOP manual
FO,Front Office,SOPs & Training,Guest service standards training
FO,Front Office,SOPs & Training,Concierge services setup
FO,Front Office,SOPs & Training,Bell desk and luggage handling procedures
FO,Front Office,SOPs & Training,Telephone operator and switchboard training
FO,Front Office,SOPs & Training,Complaint handling procedure
FO,Front Office,SOPs & Training,VIP guest handling procedure
FO,Front Office,SOPs & Training,Upselling and cross-selling training
FO,Front Office,SOPs & Training,Night audit procedure setup
FO,Front Office,SOPs & Training,Front office staffing schedule
FO,Front Office,Guest Experience Readiness,Lobby ambiance and welcome experience design
FO,Front Office,Guest Experience Readiness,Airport transfer coordination process
FO,Front Office,Guest Experience Readiness,Guest arrival experience mapping
FO,Front Office,Guest Experience Readiness,Loyalty program setup
FO,Front Office,Guest Experience Readiness,Guest feedback and survey system
FO,Front Office,Guest Experience Readiness,Business center setup
FO,Front Office,Guest Experience Readiness,Guest amenities and welcome kit design
FO,Front Office,Guest Experience Readiness,Signage and wayfinding installation
FO,Front Office,Guest Experience Readiness,Valet parking procedure setup
FO,Front Office,Guest Experience Readiness,Guest privacy and data protection compliance
FO,Front Office,Guest Experience Readiness,Front Office end-to-end guest journey test
FB,Food & Beverage,Kitchen Commissioning,Kitchen equipment installation
FB,Food & Beverage,Kitchen Commissioning,Kitchen equipment testing and calibration
FB,Food & Beverage,Kitchen Commissioning,Kitchen exhaust and ventilation testing
FB,Food & Beverage,Kitchen Commissioning,Cold storage and walk-in chiller setup
FB,Food & Beverage,Kitchen Commissioning,HACCP food safety system setup
FB,Food & Beverage,Kitchen Commissioning,Kitchen layout and workflow finalization
FB,Food & Beverage,Kitchen Commissioning,F&B staffing requirements confirmation
FB,Food & Beverage,Kitchen Commissioning,Kitchen SOP documentation
FB,Food & Beverage,Kitchen Commissioning,Food safety certification and inspection
FB,Food & Beverage,Kitchen Commissioning,Chef recruitment and menu development lead
FB,Food & Beverage,Kitchen Commissioning,Kitchen stewarding setup
FB,Food & Beverage,Outlet Setup & Menu Development,Restaurant outlet design finalization
FB,Food & Beverage,Outlet Setup & Menu Development,Bar outlet setup
FB,Food & Beverage,Outlet Setup & Menu Development,Menu engineering and costing
FB,Food & Beverage,Outlet Setup & Menu Development,Wine and beverage list development
FB,Food & Beverage,Outlet Setup & Menu Development,Menu tasting and finalization
FB,Food & Beverage,Outlet Setup & Menu Development,POS menu configuration
FB,Food & Beverage,Outlet Setup & Menu Development,Outlet furniture and equipment installation
FB,Food & Beverage,Outlet Setup & Menu Development,Room service setup
FB,Food & Beverage,Outlet Setup & Menu Development,Banquet and events menu development
FB,Food & Beverage,Outlet Setup & Menu Development,Outlet staffing plan
FB,Food & Beverage,Outlet Setup & Menu Development,Outlet SOP documentation
FB,Food & Beverage,Supplier & Service Readiness,F&B supplier onboarding
FB,Food & Beverage,Supplier & Service Readiness,Food supply chain and delivery schedule
FB,Food & Beverage,Supplier & Service Readiness,Beverage supplier contracts
FB,Food & Beverage,Supplier & Service Readiness,Service sequence training
FB,Food & Beverage,Supplier & Service Readiness,Table setting and mise-en-place standards
FB,Food & Beverage,Supplier & Service Readiness,Allergen and dietary requirement procedures
FB,Food & Beverage,Supplier & Service Readiness,F&B cost control system setup
FB,Food & Beverage,Supplier & Service Readiness,Wastage and inventory tracking setup
FB,Food & Beverage,Supplier & Service Readiness,F&B full service simulation
FB,Food & Beverage,Supplier & Service Readiness,F&B licensing and regulatory approvals
SEC,Security,Surveillance & Access Control,CCTV coverage plan finalization
SEC,Security,Surveillance & Access Control,CCTV installation in guest and back-of-house areas
SEC,Security,Surveillance & Access Control,CCTV monitoring room setup
SEC,Security,Surveillance & Access Control,Access control policy and procedures setup
SEC,Security,Surveillance & Access Control,Perimeter security fencing and gates
SEC,Security,Surveillance & Access Control,Vehicle screening procedure setup
SEC,Security,Surveillance & Access Control,Baggage screening equipment installation
SEC,Security,Surveillance & Access Control,Security control room setup
SEC,Security,Surveillance & Access Control,Guest floor access control testing
SEC,Security,Surveillance & Access Control,Key control and management system
SEC,Security,Surveillance & Access Control,Security patrol route planning
SEC,Security,Emergency & Safety Procedures,Emergency response plan development
SEC,Security,Emergency & Safety Procedures,Crisis management plan development
SEC,Security,Emergency & Safety Procedures,Evacuation drill planning
SEC,Security,Emergency & Safety Procedures,First aid and medical emergency procedure
SEC,Security,Emergency & Safety Procedures,Bomb threat and suspicious item procedure
SEC,Security,Emergency & Safety Procedures,Fire warden appointment and training
SEC,Security,Emergency & Safety Procedures,Security incident reporting system
SEC,Security,Emergency & Safety Procedures,Coordination with local police and civil defense
SEC,Security,Emergency & Safety Procedures,Lost child and vulnerable guest procedure
SEC,Security,Emergency & Safety Procedures,Emergency communication system testing
SEC,Security,Emergency & Safety Procedures,Business continuity plan
SEC,Security,Emergency & Safety Procedures,Security emergency readiness drill
SEC,Security,Staff Training & Licensing,Security staffing readiness
SEC,Security,Staff Training & Licensing,Security guard licensing verification
SEC,Security,Staff Training & Licensing,Security staff training program
SEC,Security,Staff Training & Licensing,Guest privacy and confidentiality training
SEC,Security,Staff Training & Licensing,Security SOP manual
SEC,Security,Staff Training & Licensing,Security uniform and equipment issuance
SEC,Security,Staff Training & Licensing,Shift scheduling and roster setup
SEC,Security,Staff Training & Licensing,VIP and event security protocol
SEC,Security,Staff Training & Licensing,Security staff background checks
SEC,Security,Staff Training & Licensing,Security equipment maintenance schedule
FIN,Finance,Systems & Controls Setup,Accounting system (ERP) installation
FIN,Finance,Systems & Controls Setup,Chart of accounts setup
FIN,Finance,Systems & Controls Setup,PMS-to-accounting system interface
FIN,Finance,Systems & Controls Setup,Cash handling and float procedures
FIN,Finance,Systems & Controls Setup,Petty cash policy setup
FIN,Finance,Systems & Controls Setup,Bank account opening and setup
FIN,Finance,Systems & Controls Setup,Credit card merchant account setup
FIN,Finance,Systems & Controls Setup,Internal control policy documentation
FIN,Finance,Systems & Controls Setup,Segregation of duties matrix
FIN,Finance,Systems & Controls Setup,Purchase approval workflow setup
FIN,Finance,Systems & Controls Setup,Finance staffing readiness
FIN,Finance,Budgeting & Reporting Readiness,Pre-opening budget finalization
FIN,Finance,Budgeting & Reporting Readiness,Operating budget development
FIN,Finance,Budgeting & Reporting Readiness,Capex tracking and reporting
FIN,Finance,Budgeting & Reporting Readiness,Cash flow forecasting model
FIN,Finance,Budgeting & Reporting Readiness,Departmental budget allocation
FIN,Finance,Budgeting & Reporting Readiness,Management reporting templates
FIN,Finance,Budgeting & Reporting Readiness,KPI and dashboard reporting setup
FIN,Finance,Budgeting & Reporting Readiness,Owner reporting requirements alignment
FIN,Finance,Budgeting & Reporting Readiness,Cost center structure setup
FIN,Finance,Budgeting & Reporting Readiness,Financial policy and procedure manual
FIN,Finance,Audit & Compliance,External audit firm engagement
FIN,Finance,Audit & Compliance,VAT and tax registration compliance
FIN,Finance,Audit & Compliance,Insurance policy procurement
FIN,Finance,Audit & Compliance,Statutory compliance checklist
FIN,Finance,Audit & Compliance,Anti-money laundering policy setup
FIN,Finance,Audit & Compliance,Owner-operator agreement financial terms review
FIN,Finance,Audit & Compliance,Payroll compliance review
FIN,Finance,Audit & Compliance,Financial systems access control setup
FIN,Finance,Audit & Compliance,Pre-opening cost audit
FIN,Finance,Audit & Compliance,Year-end closing procedure documentation
PRC,Procurement,Vendor Onboarding & Contracts,Vendor database creation
PRC,Procurement,Vendor Onboarding & Contracts,Vendor prequalification process
PRC,Procurement,Vendor Onboarding & Contracts,Master supply agreements negotiation
PRC,Procurement,Vendor Onboarding & Contracts,Vendor code of conduct sign-off
PRC,Procurement,Vendor Onboarding & Contracts,Procurement policy and approval matrix
PRC,Procurement,Vendor Onboarding & Contracts,Local vendor sourcing strategy
PRC,Procurement,Vendor Onboarding & Contracts,Vendor performance evaluation criteria
PRC,Procurement,Vendor Onboarding & Contracts,Purchase order system setup
PRC,Procurement,Vendor Onboarding & Contracts,Vendor payment terms negotiation
PRC,Procurement,Vendor Onboarding & Contracts,Emergency and backup vendor list
PRC,Procurement,Vendor Onboarding & Contracts,Procurement staffing readiness
PRC,Procurement,FF&E Procurement,FF&E specification and budget approval
PRC,Procurement,FF&E Procurement,Guest room furniture procurement
PRC,Procurement,FF&E Procurement,Public area furniture procurement
PRC,Procurement,FF&E Procurement,Lighting fixtures procurement
PRC,Procurement,FF&E Procurement,Artwork and decor procurement
PRC,Procurement,FF&E Procurement,FF&E delivery and logistics coordination
PRC,Procurement,FF&E Procurement,FF&E installation supervision
PRC,Procurement,FF&E Procurement,FF&E quality inspection
PRC,Procurement,FF&E Procurement,FF&E warranty documentation
PRC,Procurement,FF&E Procurement,FF&E storage and staging area setup
PRC,Procurement,FF&E Procurement,Damaged or defective FF&E replacement process
PRC,Procurement,OS&E (Operating Supplies),OS&E budget and specification list
PRC,Procurement,OS&E (Operating Supplies),Guest amenities procurement
PRC,Procurement,OS&E (Operating Supplies),Kitchen smallwares procurement
PRC,Procurement,OS&E (Operating Supplies),Linen and uniform procurement
PRC,Procurement,OS&E (Operating Supplies),Cleaning supplies procurement
PRC,Procurement,OS&E (Operating Supplies),Office supplies procurement
PRC,Procurement,OS&E (Operating Supplies),OS&E par level setup
PRC,Procurement,OS&E (Operating Supplies),OS&E storage and inventory system
PRC,Procurement,OS&E (Operating Supplies),OS&E delivery schedule coordination
PRC,Procurement,OS&E (Operating Supplies),OS&E tracker setup and handover
SM,Sales & Marketing,Brand & Digital Presence,Brand guidelines finalization
SM,Sales & Marketing,Brand & Digital Presence,Hotel website development
SM,Sales & Marketing,Brand & Digital Presence,Website booking engine integration
SM,Sales & Marketing,Brand & Digital Presence,Social media account setup
SM,Sales & Marketing,Brand & Digital Presence,Photography and videography shoot
SM,Sales & Marketing,Brand & Digital Presence,Digital marketing strategy development
SM,Sales & Marketing,Brand & Digital Presence,SEO and online listing setup
SM,Sales & Marketing,Brand & Digital Presence,OTA account setup
SM,Sales & Marketing,Brand & Digital Presence,Email marketing platform setup
SM,Sales & Marketing,Brand & Digital Presence,Brand collateral design
SM,Sales & Marketing,Brand & Digital Presence,CRM system setup
SM,Sales & Marketing,Pre-Opening Sales & Partnerships,Sales & Marketing staffing readiness
SM,Sales & Marketing,Pre-Opening Sales & Partnerships,Corporate account outreach plan
SM,Sales & Marketing,Pre-Opening Sales & Partnerships,Travel agency and DMC partnerships
SM,Sales & Marketing,Pre-Opening Sales & Partnerships,Pre-opening rate strategy
SM,Sales & Marketing,Pre-Opening Sales & Partnerships,Group and MICE sales plan
SM,Sales & Marketing,Pre-Opening Sales & Partnerships,Sales collateral and presentation kit
SM,Sales & Marketing,Pre-Opening Sales & Partnerships,Trade show and roadshow planning
SM,Sales & Marketing,Pre-Opening Sales & Partnerships,Loyalty program partnership setup
SM,Sales & Marketing,Pre-Opening Sales & Partnerships,Wedding and events sales plan
SM,Sales & Marketing,Pre-Opening Sales & Partnerships,Sales CRM and pipeline tracking setup
SM,Sales & Marketing,Pre-Opening Sales & Partnerships,Pre-opening sales target setting
SM,Sales & Marketing,Launch & PR Readiness,PR agency appointment
SM,Sales & Marketing,Launch & PR Readiness,Media and influencer familiarization trip planning
SM,Sales & Marketing,Launch & PR Readiness,Grand opening event planning
SM,Sales & Marketing,Launch & PR Readiness,Press release and media kit preparation
SM,Sales & Marketing,Launch & PR Readiness,Local community engagement plan
SM,Sales & Marketing,Launch & PR Readiness,Crisis communication plan
SM,Sales & Marketing,Launch & PR Readiness,Launch campaign budget and timeline
SM,Sales & Marketing,Launch & PR Readiness,Soft opening guest list and invitations
SM,Sales & Marketing,Launch & PR Readiness,Opening ceremony logistics coordination
SM,Sales & Marketing,Launch & PR Readiness,Post-launch marketing plan
