Task_ID,Snapshot_Date,Status,Progress_Percentage,Blocked_Flag,Delay_Days,Forecast_End_Date,Delay_Reason,Risk_Level,Open_Issues,Actual_End_Date,Actual_Cost
ENG-004,2027-01-18,Completed,100.0,False,3.0,2027-01-02,Design/Technical Issue,High,4,2027-01-02,103045.0
ENG-004,2027-01-25,Completed,100.0,False,3.0,2027-01-02,Design/Technical Issue,High,0,2027-01-02,103045.0
ENG-004,2027-02-01,Completed,100.0,False,3.0,2027-01-02,Design/Technical Issue,High,4,2027-01-02,103045.0
ENG-004,2027-02-08,Completed,100.0,False,3.0,2027-01-02,Design/Technical Issue,High,1,2027-01-02,103045.0
ENG-004,2027-02-15,Completed,100.0,False,3.0,2027-01-02,Design/Technical Issue,High,1,2027-01-02,103045.0
ENG-004,2027-02-22,Completed,100.0,False,3.0,2027-01-02,Design/Technical Issue,High,1,2027-01-02,103045.0
ENG-005,2026-12-07,Not Started,0.0,False,0.0,2026-12-17,,Low,0,,0.0
ENG-005,2026-12-14,In Progress,54.7,False,1.0,2026-12-18,Vendor Delay,High,3,,16988.0
ENG-005,2026-12-21,Completed,100.0,False,3.0,2026-12-20,Vendor Delay,High,3,2026-12-20,31056.0
ENG-005,2026-12-28,Completed,100.0,False,3.0,2026-12-20,Vendor Delay,High,3,2026-12-20,31056.0
ENG-005,2027-01-04,Completed,100.0,False,3.0,2026-12-20,Vendor Delay,High,1,2026-12-20,31056.0
ENG-005,2027-01-11,Completed,100.0,False,3.0,2026-12-20,Vendor Delay,High,1,2026-12-20,31056.0
ENG-005,2027-01-18,Completed,100.0,False,3.0,2026-12-20,Vendor Delay,High,2,2026-12-20,31056.0
ENG-005,2027-01-25,Completed,100.0,False,3.0,2026-12-20,Vendor Delay,High,4,2026-12-20,31056.0
ENG-005,2027-02-01,Completed,100.0,False,3.0,2026-12-20,Vendor Delay,High,1,2026-12-20,31056.0
ENG-005,2027-02-08,Completed,100.0,False,3.0,2026-12-20,Vendor Delay,High,1,2026-12-20,31056.0
ENG-005,2027-02-15,Completed,100.0,False,3.0,2026-12-20,Vendor Delay,High,1,2026-12-20,31056.0
ENG-005,2027-02-22,Completed,100.0,False,3.0,2026-12-20,Vendor Delay,High,1,2026-12-20,31056.0
ENG-006,2026-12-07,Not Started,0.0,False,0.0,2026-12-15,,Low,0,,0.0
ENG-006,2026-12-14,In Progress,45.0,False,5.0,2026-12-20,Vendor Delay,Medium,2,,204408.0
ENG-006,2026-12-21,Completed,100.0,False,5.0,2026-12-20,Vendor Delay,Medium,0,2026-12-20,454239.0
ENG-006,2026-12-28,Completed,100.0,False,5.0,2026-12-20,Vendor Delay,Medium,4,2026-12-20,454239.0
ENG-006,2027-01-04,Completed,100.0,False,5.0,2026-12-20,Vendor Delay,Medium,3,2026-12-20,454239.0
ENG-006,2027-01-11,Completed,100.0,False,5.0,2026-12-20,Vendor Delay,Medium,0,2026-12-20,454239.0
ENG-006,2027-01-18,Completed,100.0,False,5.0,2026-12-20,Vendor Delay,Medium,0,2026-12-20,454239.0
ENG-006,2027-01-25,Completed,100.0,False,5.0,2026-12-20,Vendor Delay,Medium,1,2026-12-20,454239.0
ENG-006,2027-02-01,Completed,100.0,False,5.0,2026-12-20,Vendor Delay,Medium,2,2026-12-20,454239.0
ENG-006,2027-02-08,Completed,100.0,False,5.0,2026-12-20,Vendor Delay,Medium,1,2026-12-20,454239.0
ENG-006,2027-02-15,Completed,100.0,False,5.0,2026-12-20,Vendor Delay,Medium,0,2026-12-20,454239.0
ENG-006,2027-02-22,Completed,100.0,False,5.0,2026-12-20,Vendor Delay,Medium,0,2026-12-20,454239.0
ENG-007,2026-12-07,Not Started,0.0,False,0.0,2026-12-31,,Low,1,,0.0
ENG-007,2026-12-14,Not Started,0.0,False,0.0,2026-12-31,,Low,1,,0.0
ENG-007,2026-12-21,In Progress,30.7,False,0.0,2026-12-31,,Low,0,,16549.0
ENG-007,2026-12-28,In Progress,89.4,False,0.0,2026-12-31,,Low,0,,48192.0
ENG-007,2027-01-04,Completed,100.0,False,4.0,2027-01-04,Vendor Delay,Medium,1,2027-01-04,53906.0
ENG-007,2027-01-11,Completed,100.0,False,4.0,2027-01-04,Vendor Delay,Medium,1,2027-01-04,53906.0
ENG-007,2027-01-18,Completed,100.0,False,4.0,2027-01-04,Vendor Delay,Medium,1,2027-01-04,53906.0
ENG-007,2027-01-25,Completed,100.0,False,4.0,2027-01-04,Vendor Delay,Medium,1,2027-01-04,53906.0
ENG-007,2027-02-01,Completed,100.0,False,4.0,2027-01-04,Vendor Delay,Medium,1,2027-01-04,53906.0
ENG-007,2027-02-08,Completed,100.0,False,4.0,2027-01-04,Vendor Delay,Medium,4,2027-01-04,53906.0
ENG-007,2027-02-15,Completed,100.0,False,4.0,2027-01-04,Vendor Delay,Medium,1,2027-01-04,53906.0
ENG-007,2027-02-22,Completed,100.0,False,4.0,2027-01-04,Vendor Delay,Medium,2,2027-01-04,53906.0
ENG-008,2026-12-07,Not Started,0.0,False,0.0,2026-12-22,,Low,0,,0.0
ENG-008,2026-12-14,Not Started,0.0,False,0.0,2026-12-22,,Low,0,,0.0
ENG-008,2026-12-21,In Progress,61.8,False,2.0,2026-12-24,Vendor Delay,Medium,2,,54604.0
ENG-008,2026-12-28,Completed,100.0,False,4.0,2026-12-26,Vendor Delay,Medium,0,2026-12-26,88357.0
ENG-008,2027-01-04,Completed,100.0,False,4.0,2026-12-26,Vendor Delay,Medium,1,2026-12-26,88357.0
ENG-008,2027-01-11,Completed,100.0,False,4.0,2026-12-26,Vendor Delay,Medium,1,2026-12-26,88357.0
ENG-008,2027-01-18,Completed,100.0,False,4.0,2026-12-26,Vendor Delay,Medium,2,2026-12-26,88357.0
ENG-008,2027-01-25,Completed,100.0,False,4.0,2026-12-26,Vendor Delay,Medium,2,2026-12-26,88357.0
ENG-008,2027-02-01,Completed,100.0,False,4.0,2026-12-26,Vendor Delay,Medium,0,2026-12-26,88357.0
ENG-008,2027-02-08,Completed,100.0,False,4.0,2026-12-26,Vendor Delay,Medium,4,2026-12-26,88357.0
ENG-008,2027-02-15,Completed,100.0,False,4.0,2026-12-26,Vendor Delay,Medium,0,2026-12-26,88357.0
ENG-008,2027-02-22,Completed,100.0,False,4.0,2026-12-26,Vendor Delay,Medium,4,2026-12-26,88357.0
ENG-009,2026-12-07,Not Started,0.0,False,0.0,2026-12-28,,Low,1,,0.0
ENG-009,2026-12-14,Not Started,0.0,False,0.0,2026-12-28,,Low,0,,0.0
ENG-009,2026-12-21,In Progress,0.0,False,0.0,2026-12-28,,Low,0,,0.0
ENG-009,2026-12-28,In Progress,99.7,False,0.0,2026-12-28,,Low,0,,30367.0
ENG-009,2027-01-04,Completed,100.0,False,6.0,2027-01-03,Resource Shortage,Medium,1,2027-01-03,30458.0
ENG-009,2027-01-11,Completed,100.0,False,6.0,2027-01-03,Resource Shortage,Medium,1,2027-01-03,30458.0
ENG-009,2027-01-18,Completed,100.0,False,6.0,2027-01-03,Resource Shortage,Medium,3,2027-01-03,30458.0
ENG-009,2027-01-25,Completed,100.0,False,6.0,2027-01-03,Resource Shortage,Medium,1,2027-01-03,30458.0
ENG-009,2027-02-01,Completed,100.0,False,6.0,2027-01-03,Resource Shortage,Medium,1,2027-01-03,30458.0
ENG-009,2027-02-08,Completed,100.0,False,6.0,2027-01-03,Resource Shortage,Medium,0,2027-01-03,30458.0
ENG-009,2027-02-15,Completed,100.0,False,6.0,2027-01-03,Resource Shortage,Medium,1,2027-01-03,30458.0
ENG-009,2027-02-22,Completed,100.0,False,6.0,2027-01-03,Resource Shortage,Medium,2,2027-01-03,30458.0
ENG-010,2026-12-07,Not Started,0.0,False,0.0,2027-01-13,,Low,1,,0.0
ENG-010,2026-12-14,Not Started,0.0,False,0.0,2027-01-13,,Low,0,,0.0
ENG-010,2026-12-21,Not Started,0.0,False,0.0,2027-01-13,,Low,0,,0.0
ENG-010,2026-12-28,In Progress,11.2,False,0.0,2027-01-12,,Low,0,,4230.0
ENG-010,2027-01-04,In Progress,60.8,False,0.0,2027-01-12,,Low,0,,22965.0
ENG-010,2027-01-11,In Progress,98.8,False,0.0,2027-01-12,,Low,0,,37318.0
ENG-010,2027-01-18,Completed,100.0,False,0.0,2027-01-12,,Low,1,2027-01-12,37771.0
ENG-010,2027-01-25,Completed,100.0,False,0.0,2027-01-12,,Low,0,2027-01-12,37771.0
ENG-010,2027-02-01,Completed,100.0,False,0.0,2027-01-12,,Low,0,2027-01-12,37771.0
ENG-010,2027-02-08,Completed,100.0,False,0.0,2027-01-12,,Low,1,2027-01-12,37771.0
ENG-010,2027-02-15,Completed,100.0,False,0.0,2027-01-12,,Low,0,2027-01-12,37771.0
ENG-010,2027-02-22,Completed,100.0,False,0.0,2027-01-12,,Low,1,2027-01-12,37771.0
ENG-011,2026-12-07,Not Started,0.0,False,0.0,2027-01-06,,Low,1,,0.0
ENG-011,2026-12-14,Not Started,0.0,False,0.0,2027-01-06,,Low,0,,0.0
ENG-011,2026-12-21,In Progress,0.0,False,0.0,2027-01-05,,Low,0,,0.0
ENG-011,2026-12-28,In Progress,10.3,False,0.0,2027-01-05,,Low,0,,21220.0
ENG-011,2027-01-04,In Progress,92.3,False,0.0,2027-01-05,,Low,1,,190155.0
ENG-011,2027-01-11,Completed,100.0,False,0.0,2027-01-06,,Low,0,2027-01-06,206018.0
ENG-011,2027-01-18,Completed,100.0,False,0.0,2027-01-06,,Low,0,2027-01-06,206018.0
ENG-011,2027-01-25,Completed,100.0,False,0.0,2027-01-06,,Low,0,2027-01-06,206018.0
ENG-011,2027-02-01,Completed,100.0,False,0.0,2027-01-06,,Low,0,2027-01-06,206018.0
ENG-011,2027-02-08,Completed,100.0,False,0.0,2027-01-06,,Low,0,2027-01-06,206018.0
ENG-011,2027-02-15,Completed,100.0,False,0.0,2027-01-06,,Low,0,2027-01-06,206018.0
ENG-011,2027-02-22,Completed,100.0,False,0.0,2027-01-06,,Low,2,2027-01-06,206018.0
ENG-012,2026-12-07,Not Started,0.0,False,0.0,2027-01-25,,Low,0,,0.0
ENG-012,2026-12-14,Not Started,0.0,False,0.0,2027-01-25,,Low,0,,0.0
ENG-012,2026-12-21,Not Started,0.0,False,0.0,2027-01-25,,Low,0,,0.0
ENG-012,2026-12-28,Not Started,0.0,False,0.0,2027-01-25,,Low,0,,0.0
ENG-012,2027-01-04,Not Started,0.0,False,0.0,2027-01-25,,Low,0,,0.0
ENG-012,2027-01-11,In Progress,6.1,False,3.0,2027-01-28,Vendor Delay,Medium,2,,10311.0
ENG-012,2027-01-18,In Progress,50.0,False,3.0,2027-01-28,Vendor Delay,Medium,1,,84518.0
ENG-012,2027-01-25,In Progress,93.9,False,3.0,2027-01-28,Vendor Delay,Medium,3,,158724.0
ENG-012,2027-02-01,Completed,100.0,False,4.0,2027-01-29,Vendor Delay,Medium,1,2027-01-29,169035.0
ENG-012,2027-02-08,Completed,100.0,False,4.0,2027-01-29,Vendor Delay,Medium,0,2027-01-29,169035.0
ENG-012,2027-02-15,Completed,100.0,False,4.0,2027-01-29,Vendor Delay,Medium,1,2027-01-29,169035.0
ENG-012,2027-02-22,Completed,100.0,False,4.0,2027-01-29,Vendor Delay,Medium,0,2027-01-29,169035.0
ENG-013,2026-12-07,Not Started,0.0,False,0.0,2026-12-23,,Low,1,,0.0
ENG-013,2026-12-14,In Progress,0.0,False,0.0,2026-12-23,,Low,0,,0.0
ENG-013,2026-12-21,In Progress,81.4,False,0.0,2026-12-23,,Low,0,,26710.0
ENG-013,2026-12-28,Completed,100.0,False,5.0,2026-12-28,Resource Shortage,High,4,2026-12-28,32813.0
ENG-013,2027-01-04,Completed,100.0,False,5.0,2026-12-28,Resource Shortage,High,2,2026-12-28,32813.0
ENG-013,2027-01-11,Completed,100.0,False,5.0,2026-12-28,Resource Shortage,High,2,2026-12-28,32813.0
ENG-013,2027-01-18,Completed,100.0,False,5.0,2026-12-28,Resource Shortage,High,0,2026-12-28,32813.0
ENG-013,2027-01-25,Completed,100.0,False,5.0,2026-12-28,Resource Shortage,High,5,2026-12-28,32813.0
ENG-013,2027-02-01,Completed,100.0,False,5.0,2026-12-28,Resource Shortage,High,4,2026-12-28,32813.0
ENG-013,2027-02-08,Completed,100.0,False,5.0,2026-12-28,Resource Shortage,High,2,2026-12-28,32813.0
ENG-013,2027-02-15,Completed,100.0,False,5.0,2026-12-28,Resource Shortage,High,3,2026-12-28,32813.0
ENG-013,2027-02-22,Completed,100.0,False,5.0,2026-12-28,Resource Shortage,High,2,2026-12-28,32813.0
ENG-014,2026-12-07,Not Started,0.0,False,0.0,2027-01-14,,Low,0,,0.0
ENG-014,2026-12-14,Not Started,0.0,False,0.0,2027-01-14,,Low,0,,0.0
ENG-014,2026-12-21,Not Started,0.0,False,0.0,2027-01-14,,Low,1,,0.0
ENG-014,2026-12-28,Not Started,0.0,False,0.0,2027-01-14,,Low,1,,0.0
ENG-014,2027-01-04,In Progress,23.8,False,0.0,2027-01-14,,Low,1,,33170.0
ENG-014,2027-01-11,In Progress,85.6,False,0.0,2027-01-14,,Low,0,,119302.0
ENG-014,2027-01-18,Completed,100.0,False,1.0,2027-01-15,Scope Change,Medium,1,2027-01-15,139372.0
ENG-014,2027-01-25,Completed,100.0,False,1.0,2027-01-15,Scope Change,Medium,2,2027-01-15,139372.0
ENG-014,2027-02-01,Completed,100.0,False,1.0,2027-01-15,Scope Change,Medium,3,2027-01-15,139372.0
ENG-014,2027-02-08,Completed,100.0,False,1.0,2027-01-15,Scope Change,Medium,1,2027-01-15,139372.0
ENG-014,2027-02-15,Completed,100.0,False,1.0,2027-01-15,Scope Change,Medium,2,2027-01-15,139372.0
ENG-014,2027-02-22,Completed,100.0,False,1.0,2027-01-15,Scope Change,Medium,2,2027-01-15,139372.0
ENG-015,2026-12-07,Not Started,0.0,False,0.0,2026-12-30,,Low,0,,0.0
ENG-015,2026-12-14,Not Started,0.0,False,0.0,2026-12-30,,Low,0,,0.0
ENG-015,2026-12-21,Not Started,0.0,False,0.0,2026-12-30,,Low,1,,0.0
ENG-015,2026-12-28,In Progress,86.2,False,0.0,2026-12-29,,Low,0,,32458.0
ENG-015,2027-01-04,Completed,100.0,False,0.0,2026-12-30,,Low,1,2026-12-30,37655.0
ENG-015,2027-01-11,Completed,100.0,False,0.0,2026-12-30,,Low,0,2026-12-30,37655.0
ENG-015,2027-01-18,Completed,100.0,False,0.0,2026-12-30,,Low,0,2026-12-30,37655.0
ENG-015,2027-01-25,Completed,100.0,False,0.0,2026-12-30,,Low,0,2026-12-30,37655.0
ENG-015,2027-02-01,Completed,100.0,False,0.0,2026-12-30,,Low,1,2026-12-30,37655.0
ENG-015,2027-02-08,Completed,100.0,False,0.0,2026-12-30,,Low,0,2026-12-30,37655.0
ENG-015,2027-02-15,Completed,100.0,False,0.0,2026-12-30,,Low,0,2026-12-30,37655.0
ENG-015,2027-02-22,Completed,100.0,False,0.0,2026-12-30,,Low,1,2026-12-30,37655.0
ENG-016,2026-12-07,Not Started,0.0,False,0.0,2026-12-30,,Low,0,,0.0
ENG-016,2026-12-14,In Progress,0.0,False,10.0,2027-01-09,Design/Technical Issue,High,0,,0.0
ENG-016,2026-12-21,In Progress,17.8,False,10.0,2027-01-09,Design/Technical Issue,High,2,,68545.0
ENG-016,2026-12-28,In Progress,55.6,False,10.0,2027-01-09,Design/Technical Issue,High,0,,214107.0
ENG-016,2027-01-04,In Progress,90.2,False,10.0,2027-01-09,Design/Technical Issue,High,3,,347347.0
ENG-016,2027-01-11,Completed,100.0,False,11.0,2027-01-10,Design/Technical Issue,High,3,2027-01-10,385085.0
ENG-016,2027-01-18,Completed,100.0,False,11.0,2027-01-10,Design/Technical Issue,High,1,2027-01-10,385085.0
ENG-016,2027-01-25,Completed,100.0,False,11.0,2027-01-10,Design/Technical Issue,High,2,2027-01-10,385085.0
ENG-016,2027-02-01,Completed,100.0,False,11.0,2027-01-10,Design/Technical Issue,High,3,2027-01-10,385085.0
ENG-016,2027-02-08,Completed,100.0,False,11.0,2027-01-10,Design/Technical Issue,High,1,2027-01-10,385085.0
ENG-016,2027-02-15,Completed,100.0,False,11.0,2027-01-10,Design/Technical Issue,High,1,2027-01-10,385085.0
ENG-016,2027-02-22,Completed,100.0,False,11.0,2027-01-10,Design/Technical Issue,High,2,2027-01-10,385085.0
ENG-017,2026-12-07,Not Started,0.0,False,0.0,2027-01-04,,Low,1,,0.0
ENG-017,2026-12-14,Not Started,0.0,False,0.0,2027-01-04,,Low,0,,0.0
ENG-017,2026-12-21,In Progress,11.5,False,0.0,2027-01-04,,Low,0,,19756.0
ENG-017,2026-12-28,In Progress,62.1,False,0.0,2027-01-04,,Low,0,,106682.0
ENG-017,2027-01-04,In Progress,99.3,False,0.0,2027-01-04,,Low,0,,170589.0
ENG-017,2027-01-11,Completed,100.0,False,4.0,2027-01-08,Vendor Delay,Medium,3,2027-01-08,171791.0
ENG-017,2027-01-18,Completed,100.0,False,4.0,2027-01-08,Vendor Delay,Medium,1,2027-01-08,171791.0
ENG-017,2027-01-25,Completed,100.0,False,4.0,2027-01-08,Vendor Delay,Medium,0,2027-01-08,171791.0
ENG-017,2027-02-01,Completed,100.0,False,4.0,2027-01-08,Vendor Delay,Medium,2,2027-01-08,171791.0
ENG-017,2027-02-08,Completed,100.0,False,4.0,2027-01-08,Vendor Delay,Medium,0,2027-01-08,171791.0
ENG-017,2027-02-15,Completed,100.0,False,4.0,2027-01-08,Vendor Delay,Medium,2,2027-01-08,171791.0
ENG-017,2027-02-22,Completed,100.0,False,4.0,2027-01-08,Vendor Delay,Medium,0,2027-01-08,171791.0
ENG-018,2026-12-07,Not Started,0.0,False,0.0,2026-12-27,,Low,0,,0.0
ENG-018,2026-12-14,Not Started,0.0,False,0.0,2026-12-27,,Low,0,,0.0
ENG-018,2026-12-21,In Progress,36.6,False,0.0,2026-12-26,,Low,0,,19980.0
ENG-018,2026-12-28,Completed,100.0,False,0.0,2026-12-27,,Low,0,2026-12-27,54589.0
ENG-018,2027-01-04,Completed,100.0,False,0.0,2026-12-27,,Low,0,2026-12-27,54589.0
ENG-018,2027-01-11,Completed,100.0,False,0.0,2026-12-27,,Low,1,2026-12-27,54589.0
ENG-018,2027-01-18,Completed,100.0,False,0.0,2026-12-27,,Low,0,2026-12-27,54589.0
ENG-018,2027-01-25,Completed,100.0,False,0.0,2026-12-27,,Low,0,2026-12-27,54589.0
ENG-018,2027-02-01,Completed,100.0,False,0.0,2026-12-27,,Low,0,2026-12-27,54589.0
ENG-018,2027-02-08,Completed,100.0,False,0.0,2026-12-27,,Low,0,2026-12-27,54589.0
ENG-018,2027-02-15,Completed,100.0,False,0.0,2026-12-27,,Low,0,2026-12-27,54589.0
ENG-018,2027-02-22,Completed,100.0,False,0.0,2026-12-27,,Low,0,2026-12-27,54589.0
ENG-019,2026-12-07,Not Started,0.0,False,0.0,2027-01-02,,Low,0,,0.0
ENG-019,2026-12-14,Not Started,0.0,False,0.0,2027-01-02,,Low,0,,0.0
ENG-019,2026-12-21,Not Started,0.0,False,0.0,2027-01-02,,Low,0,,0.0
ENG-019,2026-12-28,On Hold,40.9,True,20.0,2027-01-22,Vendor Delay,Critical,4,,13136.0
ENG-019,2027-01-04,On Hold,40.9,True,20.0,2027-01-22,Vendor Delay,Critical,2,,13136.0
ENG-019,2027-01-11,On Hold,40.9,True,20.0,2027-01-22,Vendor Delay,Critical,2,,13136.0
ENG-019,2027-01-18,In Progress,57.3,False,20.0,2027-01-22,Vendor Delay,Critical,3,,18403.0
ENG-019,2027-01-25,Completed,100.0,False,18.0,2027-01-20,Vendor Delay,Critical,1,2027-01-20,32116.0
ENG-019,2027-02-01,Completed,100.0,False,18.0,2027-01-20,Vendor Delay,Critical,1,2027-01-20,32116.0
ENG-019,2027-02-08,Completed,100.0,False,18.0,2027-01-20,Vendor Delay,Critical,4,2027-01-20,32116.0
ENG-019,2027-02-15,Completed,100.0,False,18.0,2027-01-20,Vendor Delay,Critical,4,2027-01-20,32116.0
ENG-019,2027-02-22,Completed,100.0,False,18.0,2027-01-20,Vendor Delay,Critical,3,2027-01-20,32116.0
ENG-020,2026-12-07,Not Started,0.0,False,0.0,2027-01-09,,Low,0,,0.0
ENG-020,2026-12-14,Not Started,0.0,False,0.0,2027-01-09,,Low,0,,0.0
ENG-020,2026-12-21,Not Started,0.0,False,0.0,2027-01-09,,Low,0,,0.0
ENG-020,2026-12-28,Not Started,0.0,False,0.0,2027-01-09,,Low,1,,0.0
ENG-020,2027-01-04,In Progress,0.0,False,0.0,2027-01-09,,Low,1,,0.0
ENG-020,2027-01-11,Completed,100.0,False,0.0,2027-01-05,,Low,0,2027-01-05,277211.0
ENG-020,2027-01-18,Completed,100.0,False,0.0,2027-01-05,,Low,0,2027-01-05,277211.0
ENG-020,2027-01-25,Completed,100.0,False,0.0,2027-01-05,,Low,0,2027-01-05,277211.0
ENG-020,2027-02-01,Completed,100.0,False,0.0,2027-01-05,,Low,1,2027-01-05,277211.0
ENG-020,2027-02-08,Completed,100.0,False,0.0,2027-01-05,,Low,0,2027-01-05,277211.0
ENG-020,2027-02-15,Completed,100.0,False,0.0,2027-01-05,,Low,0,2027-01-05,277211.0
ENG-020,2027-02-22,Completed,100.0,False,0.0,2027-01-05,,Low,1,2027-01-05,277211.0
ENG-021,2026-12-07,Not Started,0.0,False,0.0,2027-01-31,,Low,2,,0.0
ENG-021,2026-12-14,Not Started,0.0,False,0.0,2027-01-31,,Low,1,,0.0
ENG-021,2026-12-21,Not Started,0.0,False,0.0,2027-01-31,,Low,0,,0.0
ENG-021,2026-12-28,Not Started,0.0,False,0.0,2027-01-31,,Low,0,,0.0
ENG-021,2027-01-04,Not Started,0.0,False,0.0,2027-01-31,,Low,0,,0.0
ENG-021,2027-01-11,In Progress,4.5,False,0.0,2027-01-31,,Low,0,,7576.0
ENG-021,2027-01-18,In Progress,39.2,False,0.0,2027-01-31,,Low,0,,65994.0
ENG-021,2027-01-25,In Progress,81.6,False,0.0,2027-01-31,,Low,1,,137376.0
ENG-021,2027-02-01,Completed,100.0,False,0.0,2027-01-29,,Low,2,2027-01-29,168353.0
ENG-021,2027-02-08,Completed,100.0,False,0.0,2027-01-29,,Low,1,2027-01-29,168353.0
ENG-021,2027-02-15,Completed,100.0,False,0.0,2027-01-29,,Low,1,2027-01-29,168353.0
ENG-021,2027-02-22,Completed,100.0,False,0.0,2027-01-29,,Low,1,2027-01-29,168353.0
ENG-022,2026-12-07,Not Started,0.0,False,0.0,2027-01-08,,Low,0,,0.0
ENG-022,2026-12-14,Not Started,0.0,False,0.0,2027-01-08,,Low,0,,0.0
ENG-022,2026-12-21,Not Started,0.0,False,0.0,2027-01-08,,Low,0,,0.0
ENG-022,2026-12-28,Not Started,0.0,False,0.0,2027-01-08,,Low,0,,0.0
ENG-022,2027-01-04,In Progress,60.9,False,0.0,2027-01-07,,Low,0,,87022.0
ENG-022,2027-01-11,Completed,100.0,False,0.0,2027-01-06,,Low,1,2027-01-06,142894.0
